2023-03-28 10:05:03,446 [main][] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [me.song.sys.mq.MQTest], using SpringBootContextLoader 
2023-03-28 10:05:05,937 [main][] INFO  m.s.s.r.s.i.StandaloneConfigImpl 初始化[单机部署]方式Config,redisAddress:127.0.0.1:6379 
2023-03-28 10:05:06,293 [main][] INFO  o.r.Version Redisson 3.5.4 
2023-03-28 10:05:06,810 [redisson-netty-4-2][] INFO  o.r.c.p.MasterPubSubConnectionPool 1 connections initialized for /127.0.0.1:6379 
2023-03-28 10:05:06,810 [redisson-netty-4-30][] INFO  o.r.c.p.MasterConnectionPool 10 connections initialized for /127.0.0.1:6379 
2023-03-28 10:05:06,815 [main][] INFO  m.s.s.r.c.RedisConfig [RedisManager]装配完成，当前连接方式:standalone,连接地址:127.0.0.1:6379 
2023-03-28 10:05:08,355 [main][] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2023-03-28 10:05:08,813 [main][] INFO  o.s.s.c.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor' 
2023-03-28 10:05:09,441 [main][] INFO  o.s.s.w.DefaultSecurityFilterChain Will secure Ant [pattern='/swagger-ui.html'] with [] 
2023-03-28 10:05:09,442 [main][] INFO  o.s.s.w.DefaultSecurityFilterChain Will secure Ant [pattern='/swagger-resources/**'] with [] 
2023-03-28 10:05:09,442 [main][] INFO  o.s.s.w.DefaultSecurityFilterChain Will secure Ant [pattern='/webjars/**'] with [] 
2023-03-28 10:05:09,442 [main][] INFO  o.s.s.w.DefaultSecurityFilterChain Will secure Ant [pattern='/v2/**'] with [] 
2023-03-28 10:05:09,442 [main][] INFO  o.s.s.w.DefaultSecurityFilterChain Will secure Ant [pattern='/api/**'] with [] 
2023-03-28 10:05:09,527 [main][] INFO  o.s.s.w.DefaultSecurityFilterChain Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@34070bd2, org.springframework.security.web.context.SecurityContextPersistenceFilter@736788b, org.springframework.security.web.header.HeaderWriterFilter@71eff6a3, org.springframework.web.filter.CorsFilter@1e7d3d87, org.springframework.security.web.authentication.logout.LogoutFilter@35cbeb54, me.song.sys.security.filter.LoginAuthenticationFilter@1dd76982, me.song.sys.security.filter.TokenFilter@7e76a66f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@460e5ffe, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@620572db, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@72237be8, org.springframework.security.web.session.SessionManagementFilter@735988cf, org.springframework.security.web.access.ExceptionTranslationFilter@25ea068e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@26f480c6]
2023-03-28 10:05:09,622 [main][] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper Context refreshed 
2023-03-28 10:05:09,642 [main][] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper Found 1 custom documentation plugin(s) 
2023-03-28 10:05:09,673 [main][] INFO  s.d.s.w.s.ApiListingReferenceScanner Scanning for api listing references 
2023-03-28 10:05:09,746 [main][] WARN  s.d.s.w.r.p.ParameterDataTypeReader Trying to infer dataType java.lang.Long[] 
2023-03-28 10:05:09,804 [main][] INFO  m.s.s.mq.MQTest Started MQTest in 6.143 seconds (JVM running for 6.934) 
2023-03-28 10:05:11,083 [NettyClientSelector_1][] INFO  RocketmqRemoting closeChannel: close the connection to remote address[127.0.0.1:9876] result: true 
2023-03-28 10:05:11,084 [NettyClientSelector_1][] INFO  RocketmqRemoting closeChannel: close the connection to remote address[172.23.131.101:10911] result: true 
2023-03-28 10:05:11,098 [SpringContextShutdownHook][] INFO  o.s.s.c.ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor' 
2023-03-28 10:05:11,103 [SpringContextShutdownHook][] INFO  c.a.d.p.DruidDataSource {dataSource-0} closing ... 
